Company Name,NAIC Code,Product type,Share of product complaints (%),Product premium,Share of product premiums (%),Number of complaints
CENTURY SURETY CO,36951,Commercial Auto ,0.5,"6,360",0.0,"1,864.58"
NATIONAL IND CO,20087,Commercial Auto ,0.5,703,0.0,"16,868.71"
AMERICAN SERV INS CO INC,42897,Commercial Auto ,0.5,0,0.0,
FEDERATED NATL INS CO,10790,Commercial Auto ,0.5,0,0.0,
GEICO GEN INS CO,35882,Commercial Auto ,0.5,0,0.0,
GEICO IND CO,22055,Commercial Auto ,0.5,0,0.0,
GUIDEONE AMER INS CO,42331,Commercial Auto ,0.5,0,0.0,
MERCURY CAS CO,11908,Commercial Auto ,0.5,0,0.0,
OCEAN HARBOR CAS INS CO,12360,Commercial Auto ,1.5,0,0.0,
PEAK PROP & CAS INS CORP,18139,Commercial Auto ,0.5,0,0.0,
PROGRESSIVE AMER INS CO,24252,Commercial Auto ,0.5,0,0.0,
PROGRESSIVE CAS INS CO,24260,Commercial Auto ,0.5,0,0.0,
REPWEST INS CO,31089,Commercial Auto ,0.5,0,0.0,
UNDERWRITERS AT LLOYD'S LONDON,15642,Commercial Auto ,1.0,0,0.0,
WINDHAVEN INS CO,12541,Commercial Auto ,0.5,0,0.0,
PHILADELPHIA IND INS CO,18058,Commercial Liability,3.4,"73,008,172",5.0,0.68
SOUTHERN OWNERS INS CO,10190,Commercial Liability,9.3,"37,153,562",2.5,3.67
OLD DOMINION INS CO,40231,Commercial Liability,0.8,"29,246,863",2.0,0.42
SCOTTSDALE INS CO,41297,Commercial Liability,4.2,"24,093,066",1.6,2.57
OHIO SECURITY INS CO,24082,Commercial Liability,1.7,"21,008,759",1.4,1.18
GRANADA INS CO,16870,Commercial Liability,1.7,"17,469,675",1.2,1.42
DEPOSITORS INS CO,42587,Commercial Liability,0.8,"15,553,348",1.1,0.80
AMERISURE MUT INS CO,23396,Commercial Liability,1.7,"13,995,313",1.0,1.77
HARTFORD FIRE INS CO,19682,Commercial Liability,0.8,"13,605,756",0.9,0.91
ZURICH AMER INS CO,16535,Commercial Liability,2.5,"13,559,226",0.9,2.74
ALLIED PROP & CAS INS CO,42579,Commercial Liability,1.7,"12,906,940",0.9,1.92
AMERISURE INS CO,19488,Commercial Liability,1.7,"12,740,775",0.9,1.94
NATIONWIDE INS CO OF AMER,25453,Commercial Liability,0.8,"12,252,566",0.8,1.01
CONTINENTAL CAS CO,20443,Commercial Liability,0.8,"10,911,824",0.7,1.13
COVINGTON SPECIALTY INS CO,13027,Commercial Liability,3.4,"10,209,448",0.7,4.85
ARCH SPECIALTY INS CO,21199,Commercial Liability,0.8,"9,511,822",0.7,1.30
TRAVELERS PROP CAS CO OF AMER,25674,Commercial Liability,0.8,"8,346,710",0.6,1.48
WESTERN WORLD INS CO,13196,Commercial Liability,2.5,"7,879,700",0.5,4.71
GREAT AMER E&S INS CO,37532,Commercial Liability,0.8,"5,781,601",0.4,2.14
FIRST NATL INS CO OF AMER,24724,Commercial Liability,0.8,"5,710,559",0.4,2.17
ACE AMER INS CO,22667,Commercial Liability,2.5,"4,933,591",0.3,7.53
GRANITE STATE INS CO,23809,Commercial Liability,2.5,"4,832,059",0.3,7.69
CAPITOL SPECIALTY INS CORP,10328,Commercial Liability,0.8,"4,710,062",0.3,2.63
ASPEN SPECIALTY INS CO,10717,Commercial Liability,0.8,"4,594,358",0.3,2.69
ZURICH AMER INS CO OF IL,27855,Commercial Liability,0.8,"4,424,225",0.3,2.80
MARKEL INS CO,38970,Commercial Liability,0.8,"4,115,989",0.3,3.01
FIRST MERCURY INS CO,10657,Commercial Liability,0.8,"4,108,521",0.3,3.01
MAPFRE INS CO OF FL,34932,Commercial Liability,0.8,"3,979,367",0.3,3.11
UNITED SPECIALTY INS CO,12537,Commercial Liability,3.4,"3,830,753",0.3,12.93
WESCO INS CO,25011,Commercial Liability,1.7,"3,711,693",0.3,6.67
TRAVELERS IND CO OF CT,25682,Commercial Liability,1.7,"3,594,569",0.2,6.89
NAUTILUS INS CO,17370,Commercial Liability,0.8,"3,345,771",0.2,3.70
GREAT NORTHERN INS CO,20303,Commercial Liability,0.8,"3,192,852",0.2,3.88
JAMES RIVER INS CO,12203,Commercial Liability,0.8,"2,739,137",0.2,4.52
MID CONTINENT CAS CO,23418,Commercial Liability,0.8,"2,718,109",0.2,4.55
LIBERTY MUT FIRE INS CO,23035,Commercial Liability,,0.8,"2,640,634",0.2
AMERICAN AUTOMOBILE INS CO,21849,Commercial Liability,,0.8,"2,500,141",0.2
CAPACITY INS CO,32930,Commercial Liability,,0.8,"2,328,806",0.2
STATE NATL INS CO INC,12831,Commercial Liability,,0.8,"2,229,585",0.2
HDI GLOBAL INS CO,41343,Commercial Liability,,0.8,"2,080,950",0.1
AUTO OWNERS INS CO,18988,Commercial Liability,,1.7,"1,909,815",0.1
CRUM & FORSTER IND CO,31348,Commercial Liability,,0.8,"1,526,591",0.1
HERITAGE PROP & CAS INS CO,14407,Commercial Liability,,0.8,"713,924",0.0
SENECA SPECIALTY INS CO,10729,Commercial Liability,,0.8,"705,050",0.0
ATLANTIC SPECIALTY INS CO,27154,Commercial Liability,,0.8,"612,264",0.0
OHIO CAS INS CO,24074,Commercial Liability,,0.8,"553,647",0.0
ASPEN AMER INS CO,43460,Commercial Liability,,1.7,"524,806",0.0
UNITED STATES LIAB INS CO,25895,Commercial Liability,,2.5,"473,832",0.0
LIBERTY MUT INS CO,23043,Commercial Liability,,1.7,"459,845",0.0
BURLINGTON INS CO,23620,Commercial Liability,,1.7,"174,513",0.0
MOUNT VERNON FIRE INS CO,26522,Commercial Liability,,0.8,"127,637",0.0
QBE INS CORP,39217,Commercial Liability,,0.8,"24,866",0.0
NATIONAL IND CO OF THE SOUTH,42137,Commercial Liability,,0.8,"6,174",0.0
NORTH POINTE INS CO,27740,Commercial Liability,,1.7,"4,267",0.0
ACCIDENT INS CO INC,11573,Commercial Liability,,0.8,0,0.0
AIG SPECIALTY INS CO,26883,Commercial Liability,,0.8,0,0.0
AMERICAN SAFETY INDEMNITY CO,25433,Commercial Liability,,1.7,0,0.0
ATTPRO RRG RECIP RRG,13795,Commercial Liability,,0.8,0,0.0
CHUBB IND INS CO,12777,Commercial Liability,,0.8,0,0.0
CYPRESS PROP & CAS INS CO,10953,Commercial Liability,,2.5,0,0.0
FEDERATED NATL INS CO,10790,Commercial Liability,,4.2,0,0.0
HUDSON INS CO,25054,Commercial Liability,,0.8,0,0.0
RSUI IND CO,22314,Commercial Liability,,0.8,0,0.0
STONINGTON INS CO,10340,Commercial Liability,,0.8,0,0.0
TRAVELERS CAS & SURETY CO OF AMER,31194,Commercial Liability,,0.8,0,0.0
UNDERWRITERS AT LLOYD'S LONDON,15642,Commercial Liability,,0.8,0,0.0
AMERICAN COASTAL INS CO,12968,Commercial Property,,5.9,"250,219,012",8.1
ZURICH AMER INS CO,16535,Commercial Property,,2.0,"105,613,713",3.4
FEDERAL INS CO,20281,Commercial Property,,2.0,"67,745,198",2.2
STATE FARM FL INS CO,10739,Commercial Property,,2.0,"50,912,337",1.6
OLD DOMINION INS CO,40231,Commercial Property,,2.0,"50,328,851",1.6
TRAVELERS PROP CAS CO OF AMER,25674,Commercial Property,,2.0,"44,408,452",1.4
AMERICAN ZURICH INS CO,40142,Commercial Property,,3.9,"41,109,574",1.3
SCOTTSDALE INS CO,41297,Commercial Property,,3.9,"37,279,855",1.2
ROCKHILL INS CO,28053,Commercial Property,,2.0,"30,473,482",1.0
PHILADELPHIA IND INS CO,18058,Commercial Property,,2.0,"22,519,781",0.7
PROGRESSIVE EXPRESS INS CO,10193,Commercial Property,,2.0,"18,243,370",0.6
NATIONWIDE INS CO OF AMER,25453,Commercial Property,,2.0,"17,231,645",0.6
LIBERTY MUT INS CO,23043,Commercial Property,,2.0,"16,817,242",0.5
ATLANTIC SPECIALTY INS CO,27154,Commercial Property,,2.0,"16,203,282",0.5
ALLIED PROP & CAS INS CO,42579,Commercial Property,,2.0,"10,940,711",0.4
UNITED SERV AUTOMOBILE ASSN,25941,Commercial Property,,2.0,"8,899,019",0.3
FIRST NATL INS CO OF AMER,24724,Commercial Property,,2.0,"8,116,626",0.3
COVINGTON SPECIALTY INS CO,13027,Commercial Property,,2.0,"7,299,203",0.2
CAPACITY INS CO,32930,Commercial Property,,3.9,"6,844,561",0.2
SENTINEL INS CO LTD,11000,Commercial Property,,2.0,"5,768,416",0.2
UNIVERSAL INS CO OF NA,11986,Commercial Property,,2.0,"4,477,113",0.1
WESTERN WORLD INS CO,13196,Commercial Property,,2.0,"4,172,984",0.1
MAPFRE INS CO OF FL,34932,Commercial Property,,2.0,"3,654,804",0.1
ARCH INS CO,11150,Commercial Property,,2.0,"2,367,300",0.1
GRANADA INS CO,16870,Commercial Property,,2.0,"2,100,762",0.1
CATLIN SPECIALTY INS CO,15989,Commercial Property,2.0,"1,738,921",0.1,34.85
CATERPILLAR INS CO,11255,Commercial Property,2.0,"1,455,250",0.0,41.64
ALLSTATE INS CO,19232,Commercial Property,3.9,"843,290",0.0,143.73
NAUTILUS INS CO,17370,Commercial Property,2.0,"434,393",0.0,139.51
QBE INS CORP,39217,Commercial Property,2.0,"348,468",0.0,173.91
MOUNT VERNON FIRE INS CO,26522,Commercial Property,2.0,"279,751",0.0,216.63
ST PAUL FIRE & MARINE INS CO,24767,Commercial Property,2.0,"172,830",0.0,350.66
SOUTHERN FIDELITY INS CO INC,10136,Commercial Property,2.0,"13,625",0.0,"4,447.98"
NATIONWIDE MUT INS CO,23787,Commercial Property,2.0,"6,458",0.0,"9,384.29"
UNITED STATES LIAB INS CO,25895,Commercial Property,2.0,2,0.0,"30,301,880.05"
ASCENDANT COMMERCIAL INS INC,13683,Commercial Property,2.0,0,0.0,
CITIZENS PROP INS CORP,10064,Commercial Property,7.8,0,0.0,
LIBERTY INS CORP,42404,Commercial Property,2.0,0,0.0,
REPWEST INS CO,31089,Commercial Property,2.0,0,0.0,
SCOTTSDALE IND CO,15580,Commercial Property,2.0,0,0.0,
STATE FARM FIRE & CAS CO,25143,Commercial Property,2.0,0,0.0,
UNDERWRITERS AT LLOYD'S LONDON,15642,Commercial Property,2.0,0,0.0,
MINNESOTA LIFE INS CO,66168,Credit,16.7,"4,433,552",3.0,5.52
LIFE OF THE SOUTH INS CO,97691,Credit,33.3,"2,580,594",1.8,18.95
CENTRAL STATES H & L CO OF OMAHA,61751,Credit,16.7,"1,616,025",1.1,15.13
PAVONIA LIFE INS CO OF MI,93777,Credit,16.7,"672,836",0.5,36.34
UNIFIED LIFE INS CO,11121,Credit,16.7,0,0.0,
TRAVELERS CAS & SURETY CO OF AMER,31194,Fidelity and Surety,6.7,"67,845,391",15.9,0.42
WESTERN SURETY CO,13188,Fidelity and Surety,3.3,"21,917,306",5.1,0.65
GREAT AMER INS CO,16691,Fidelity and Surety,26.7,"13,083,287",3.1,8.68
OLD REPUBLIC SURETY CO,40444,Fidelity and Surety,3.3,"4,691,189",1.1,3.03
HUDSON INS CO,25054,Fidelity and Surety,40.0,"4,559,944",1.1,37.35
WASHINGTON INTL INS CO,32778,Fidelity and Surety,3.3,"1,069,150",0.3,13.28
NATIONAL SPECIALTY INS CO,22608,Fidelity and Surety,3.3,"198,230",0.0,71.60
NATIONAL BAIL & SURETY CO,13003,Fidelity and Surety,3.3,"11,713",0.0,"1,211.73"
ALLSTATE NORTHBROOK IND CO,36455,Fidelity and Surety,3.3,0,0.0,
FIDELITY NATL TITLE INS CO,51586,Fidelity and Surety,3.3,0,0.0,
WESTCOR LAND TITLE INS CO,50050,Fidelity and Surety,3.3,0,0.0,
UNITEDHEALTHCARE INS CO,79413,Group Accident and Health,11.6,"2,960,009,518",17.7,0.66
BCBS OF FL,98167,Group Accident and Health,21.1,"2,481,459,474",14.8,1.42
SUNSHINE STATE HLTH PLAN INC,13148,Group Accident and Health,0.8,"1,816,730,748",10.9,0.07
HEALTH OPTIONS INC,95089,Group Accident and Health,3.7,"1,004,939,006",6.0,0.62
AETNA HLTH INC FL CORP,95088,Group Accident and Health,2.7,"863,504,034",5.2,0.52
CIGNA HLTH & LIFE INS CO,67369,Group Accident and Health,8.1,"854,256,517",5.1,1.58
AETNA LIFE INS CO,60054,Group Accident and Health,9.2,"780,015,950",4.7,1.98
HUMANA MEDICAL PLAN INC,95270,Group Accident and Health,1.9,"687,278,681",4.1,0.47
NEIGHBORHOOD HLTH PARTNERSHIP INC,95123,Group Accident and Health,3.5,"578,723,990",3.5,1.00
CAPITAL HLTH PLAN INC,95112,Group Accident and Health,0.7,"546,623,836",3.3,0.21
UNITED HLTHCARE OF FL INC,95264,Group Accident and Health,5.8,"480,984,544",2.9,2.00
AVMED INC,95263,Group Accident and Health,1.3,"408,267,082",2.4,0.55
METROPOLITAN LIFE INS CO,65978,Group Accident and Health,2.7,"346,603,939",2.1,1.30
GUARDIAN LIFE INS CO OF AMER,64246,Group Accident and Health,0.8,"234,841,825",1.4,0.55
GOLDEN RULE INS CO,62286,Group Accident and Health,1.3,"228,782,509",1.4,0.98
FLORIDA HLTH CARE PLAN INC,13567,Group Accident and Health,0.3,"180,893,300",1.1,0.27
COVENTRY HLTH CARE OF FL INC,95114,Group Accident and Health,0.6,"165,820,531",1.0,0.58
UNUM LIFE INS CO OF AMER,62235,Group Accident and Health,0.6,"143,397,545",0.9,0.67
US BR SUN LIFE ASSUR CO OF CANADA,80802,Group Accident and Health,0.1,"118,688,825",0.7,0.14
LIFE INS CO OF N AMER,65498,Group Accident and Health,0.8,"99,659,146",0.6,1.29
HARTFORD LIFE & ACCIDENT INS CO,70815,Group Accident and Health,0.4,"98,074,764",0.6,0.65
LINCOLN NATL LIFE INS CO,65676,Group Accident and Health,1.1,"74,151,328",0.4,2.38
STANDARD INS CO,69019,Group Accident and Health,0.5,"70,331,815",0.4,1.14
PRINCIPAL LIFE INS CO,61271,Group Accident and Health,0.4,"66,599,042",0.4,0.96
RELIANCE STANDARD LIFE INS CO,68381,Group Accident and Health,0.3,"56,128,396",0.3,0.86
AMERICAN HERITAGE LIFE INS CO,60534,Group Accident and Health,0.8,"55,454,931",0.3,2.32
TRANSAMERICA LIFE INS CO,86231,Group Accident and Health,0.2,"54,803,206",0.3,0.59
FLORIDA COMBINED LIFE INS CO INC,76031,Group Accident and Health,0.2,"53,493,519",0.3,0.60
PRUDENTIAL INS CO OF AMER,68241,Group Accident and Health,1.1,"53,096,089",0.3,3.33
UNITED OF OMAHA LIFE INS CO,69868,Group Accident and Health,0.7,"51,734,365",0.3,2.17
TRANSAMERICA PREMIER LIFE INS CO,66281,Group Accident and Health,0.1,"47,738,129",0.3,0.34
FREEDOM LIFE INS CO OF AMER,62324,Group Accident and Health,0.4,"44,174,198",0.3,1.45
UNION SECURITY INS CO,70408,Group Accident and Health,0.3,"43,549,149",0.3,1.11
LIBERTY LIFE ASSUR CO OF BOSTON,65315,Group Accident and Health,0.5,"39,097,804",0.2,2.05
CONTINENTAL AMER INS CO,71730,Group Accident and Health,0.1,"27,954,593",0.2,0.57
NATIONAL UNION FIRE INS CO OF PITT,19445,Group Accident and Health,0.1,"22,349,986",0.1,0.72
HEALTH FIRST HLTH PLANS INC,15880,Group Accident and Health,0.1,"20,158,182",0.1,0.80
JOHN HANCOCK LIFE INS CO USA,65838,Group Accident and Health,0.3,"16,068,055",0.1,3.00
HUMANA HLTH INS CO OF FL INC,69671,Group Accident and Health,0.6,"15,040,648",0.1,6.41
COLONIAL LIFE & ACCIDENT INS CO,62049,Group Accident and Health,0.1,"14,918,111",0.1,1.08
CONSTITUTION LIFE INS CO,62359,Group Accident and Health,0.1,"13,026,889",0.1,1.23
UNITEDHEALTHCARE LIFE INS CO,97179,Group Accident and Health,0.2,"11,698,857",0.1,2.75
GERBER LIFE INS CO,70939,Group Accident and Health,0.1,"11,203,169",0.1,1.43
COMPANION LIFE INS CO,77828,Group Accident and Health,0.7,"10,638,481",0.1,10.57
AMERICAN FIDELITY ASSUR CO,60410,Group Accident and Health,0.1,"10,078,995",0.1,1.59
ZURICH AMER INS CO,16535,Group Accident and Health,0.1,"9,415,008",0.1,1.71
AAA LIFE INS CO,71854,Group Accident and Health,0.2,"8,903,651",0.1,3.61
UNITED STATES LIFE INS CO IN THE C,70106,Group Accident and Health,0.1,"8,647,643",0.1,1.86
TIME INS CO,69477,Group Accident and Health,0.7,"8,466,982",0.1,13.28
INTEGON IND CORP,22772,Group Accident and Health,0.1,"7,891,984",0.0,2.03
NATIONWIDE LIFE INS CO,66869,Group Accident and Health,0.1,"6,030,966",0.0,2.66
4 EVER LIFE INS CO,80985,Group Accident and Health,0.1,"5,500,292",0.0,2.92
UNIFIED LIFE INS CO,11121,Group Accident and Health,0.8,"4,378,921",0.0,29.34
HARTFORD LIFE INS CO,88072,Group Accident and Health,0.1,"3,841,293",0.0,4.18
FEDERAL INS CO,20281,Group Accident and Health,0.1,"3,513,692",0.0,4.57
COVENTRY HLTH & LIFE INS CO,81973,Group Accident and Health,0.1,"3,453,267",0.0,4.65
STANDARD LIFE & ACCIDENT INS CO,86355,Group Accident and Health,0.1,"3,130,783",0.0,5.13
CONTINENTAL CAS CO,20443,Group Accident and Health,0.6,"2,192,548",0.0,43.94
CATLIN INS CO,19518,Group Accident and Health,0.1,"2,069,792",0.0,7.76
GUARANTEE TRUST LIFE INS CO,64211,Group Accident and Health,0.1,"1,342,806",0.0,11.96
CONNECTICUT GEN LIFE INS CO,62308,Group Accident and Health,0.1,"1,143,640",0.0,14.04
CIGNA HLTHCARE OF FL INC,95136,Group Accident and Health,0.1,"927,421",0.0,17.32
INDEPENDENCE AMER INS CO,26581,Group Accident and Health,0.1,"760,745",0.0,21.11
MID WEST NATL LIFE INS CO OF TN,66087,Group Accident and Health,0.1,"587,808",0.0,27.32
PROVIDENT LIFE & ACCIDENT INS CO,68195,Group Accident and Health,0.1,"101,519",0.0,158.18
AMERICAN FAMILY LIFE ASSUR CO OF C,60380,Group Accident and Health,0.1,"80,383",0.0,199.78
UNICARE LIFE & HLTH INS CO,80314,Group Accident and Health,0.1,"55,496",0.0,289.36
ALLIANZ LIFE INS CO OF N AMER,90611,Group Accident and Health,0.1,"24,800",0.0,647.52
USAA LIFE INS CO,69663,Group Accident and Health,0.1,"15,019",0.0,"1,069.22"
BRIGHTHOUSE LIFE INS CO,87726,Group Accident and Health,0.1,"6,643",0.0,"2,417.36"
JACKSON NATL LIFE INS CO,65056,Group Accident and Health,0.1,"4,614",0.0,"3,480.40"
AETNA HLTH & LIFE INS CO,78700,Group Accident and Health,0.6,"2,501",0.0,"38,525.12"
COLONIAL PENN LIFE INS CO,62065,Group Accident and Health,0.1,"2,047",0.0,"7,844.92"
COVENTRY HLTH PLAN OF FL INC,95266,Group Accident and Health,0.2,944,0.0,"34,022.36"
AETNA HLTH INS CO,72052,Group Accident and Health,0.2,0,0.0,
AVMED HEALTH INS CO,82516,Group Accident and Health,0.4,0,0.0,
CELTIC INS CO,80799,Group Accident and Health,0.2,0,0.0,
CIGNA DENTAL HLTH OF FL INC,52021,Group Accident and Health,0.1,0,0.0,
CIGNA DENTAL HLTH OF KS INC,52024,Group Accident and Health,,0.1,0,0.0
COMPBENEFITS CO,52015,Group Accident and Health,,0.4,0,0.0
COMPBENEFITS INS CO,60984,Group Accident and Health,,0.4,0,0.0
DELTA DENTAL INS CO,81396,Group Accident and Health,,2.2,0,0.0
DENTAL BENEFIT PROVIDERS OF IL INC,52053,Group Accident and Health,,0.1,0,0.0
ENVISION INS CO,12747,Group Accident and Health,,0.1,0,0.0
HARTFORD ACCIDENT & IND CO,22357,Group Accident and Health,,0.1,0,0.0
HEALTH FIRST HEALTH PLANS INC,95019,Group Accident and Health,,0.4,0,0.0
HUMANA HLTH PLAN INC,95885,Group Accident and Health,,0.5,0,0.0
HUMANA INS CO,73288,Group Accident and Health,,0.6,0,0.0
HUMANADENTAL INS CO,70580,Group Accident and Health,,0.4,0,0.0
MOLINA HLTHCARE OF FL INC,13128,Group Accident and Health,,0.2,0,0.0
PROFESSIONAL INS CO,68047,Group Accident and Health,,0.1,0,0.0
SAFEGUARD HLTH PLANS INC,52009,Group Accident and Health,,0.2,0,0.0
SECURITY LIFE INS CO OF AMERICA,68721,Group Accident and Health,,0.2,0,0.0
SOLSTICE BENEFITS INC,12341,Group Accident and Health,,1.1,0,0.0
UNITED CONCORDIA DENTAL PLANS OF F,52020,Group Accident and Health,,0.1,0,0.0
UNITED CONCORDIA INS CO,85766,Group Accident and Health,,0.2,0,0.0
UNITED TEACHER ASSOC INS CO,63479,Group Accident and Health,,0.1,0,0.0
UNUM INS CO,67601,Group Accident and Health,,0.1,0,0.0
VARIABLE ANN LIFE INS CO,70238,Group Annuity,,20.0,"336,507,876",10.4
AXA EQUITABLE LIFE INS CO,62944,Group Annuity,,20.0,"233,600,135",7.2
GREAT AMER LIFE INS CO,63312,Group Annuity,,20.0,"1,271,636",0.0
FIDELITY SECURITY LIFE INS CO,71870,Group Annuity,,20.0,0,0.0
PRUDENTIAL RETIREMENT INS & ANN CO,93629,Group Annuity,,20.0,0,0.0
METROPOLITAN LIFE INS CO,65978,Group Life,,11.5,"251,322,112",14.5
PRUDENTIAL INS CO OF AMER,68241,Group Life,,16.4,"167,347,266",9.7
NEW YORK LIFE INS CO,66915,Group Life,,1.6,"115,337,283",6.7
LIFE INS CO OF N AMER,65498,Group Life,,3.3,"69,048,196",4.0
UNUM LIFE INS CO OF AMER,62235,Group Life,,1.6,"61,543,658",3.6
AETNA LIFE INS CO,60054,Group Life,,3.3,"59,588,758",3.4
STANDARD INS CO,69019,Group Life,,1.6,"47,550,606",2.7
LINCOLN NATL LIFE INS CO,65676,Group Life,,6.6,"42,133,143",2.4
US BR SUN LIFE ASSUR CO OF CANADA,80802,Group Life,,3.3,"35,164,609",2.0
UNITED OF OMAHA LIFE INS CO,69868,Group Life,,1.6,"31,732,303",1.8
GUARDIAN LIFE INS CO OF AMER,64246,Group Life,,1.6,"25,658,786",1.5
FLORIDA COMBINED LIFE INS CO INC,76031,Group Life,,1.6,"22,728,330",1.3
LIBERTY LIFE ASSUR CO OF BOSTON,65315,Group Life,,1.6,"20,467,284",1.2
